Datum Zeit; BEN; NO; NO2; PM10; SO2; PM2.5; O3
; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16 00:30; 0,0; 0; ; ; ; ; 
01-10-16 01:00; 1,3; 16; 15; 13; 0,0; 0,00; 7
01-10-16 01:30; 0,0; 0; ; ; ; ; 
01-10-16 02:00; 0,6; 9; 13; 13; 0,0; 0,00; 5
01-10-16 02:30; 0,0; 0; ; ; ; ; 
01-10-16 03:00; 1,0; 13; 12; 13; 0,0; 0,00; 3
01-10-16 03:30; 0,0; 0; ; ; ; ; 
01-10-16 04:00; 0,8; 22; 12; 13; 0,0; 0,00; 2
01-10-16 04:30; 0,0; 0; ; ; ; ; 
01-10-16 05:00; 0,9; 16; 14; 13; 0,0; 0,00; 3
01-10-16 05:30; 0,0; 0; ; ; ; ; 
01-10-16 06:00; 0,8; 4; 14; 13; 0,0; 0,00; 2
01-10-16 06:30; 0,0; 0; ; ; ; ; 
01-10-16 07:00; 0,8; 10; 17; 13; 0,0; 0,00; 3
01-10-16 07:30; 0,0; 0; ; ; ; ; 
01-10-16 08:00; 0,5; 15; 21; 13; 0,0; 0,00; 4
01-10-16 08:30; 0,0; 0; ; ; ; ; 
01-10-16 09:00; 0,5; 18; 23; 13; 0,0; 0,00; 9
01-10-16 09:30; 0,0; 0; ; ; ; ; 
01-10-16 10:00; 0,7; 16; 22; 13; 0,0; 0,00; 8
01-10-16 10:30; 0,0; 0; ; ; ; ; 
01-10-16 11:00; 0,9; 15; 26; 13; 0,0; 0,00; 7
01-10-16 11:30; 0,0; 0; ; ; ; ; 
01-10-16 12:00; 1,2; 13; 27; 13; 0,0; 0,00; 8
01-10-16 12:30; 0,0; 0; ; ; ; ; 
01-10-16 13:00; 1,3; 7; 20; 13; 0,0; 0,00; 17
01-10-16 13:30; 0,0; 0; ; ; ; ; 
01-10-16 14:00; 1,4; 9; 22; 13; 0,0; 0,00; 24
01-10-16 14:30; 0,0; 0; ; ; ; ; 
01-10-16 15:00; 1,4; 9; 26; 13; 0,0; 0,00; 24
01-10-16 15:30; 0,0; 0; ; ; ; ; 
01-10-16 16:00; 3,1; 5; 20; 13; 0,0; 0,00; 21
01-10-16 16:30; 0,0; 0; ; ; ; ; 
01-10-16 17:00; 5,3; 9; 29; 13; 0,0; 0,00; 15
01-10-16 17:30; 0,0; 0; ; ; ; ; 
01-10-16 18:00; 3,2; 12; 34; 13; 0,0; 0,00; 30
01-10-16 18:30; 0,0; 0; ; ; ; ; 
01-10-16 19:00; 2,0; 3; 15; 13; 0,0; 0,00; 67
01-10-16 19:30; 0,0; 0; ; ; ; ; 
01-10-16 20:00; 1,9; 6; 20; 13; 0,0; 0,00; 64
01-10-16 20:30; 0,0; 0; ; ; ; ; 
01-10-16 21:00; 2,3; 5; 12; 13; 0,0; 0,00; 55
01-10-16 21:30; 0,0; 0; ; ; ; ; 
01-10-16 22:00; 1,2; 4; 12; 13; 0,0; 0,00; 49
01-10-16 22:30; 0,0; 0; ; ; ; ; 
01-10-16 23:00; ; 3; 12; 13; 0,0; 0,00; 53
01-10-16 23:30; 0,0; 0; ; ; ; ; 
02-10-16 00:00; ; 2; 8; 13; 0,0; 0,00; 51
02-10-16 00:30; 0,0; 0; ; ; ; ; 
02-10-16 01:00; ; 2; 9; 8; 0,0; 0,00; 49
02-10-16 01:30; 0,0; 0; ; ; ; ; 
02-10-16 02:00; ; 3; 12; 8; 0,0; 0,00; 45
02-10-16 02:30; 0,0; 0; ; ; ; ; 
02-10-16 03:00; ; 2; 9; 8; 0,0; 0,00; 39
02-10-16 03:30; 0,0; 0; ; ; ; ; 
02-10-16 04:00; 0,6; 3; 10; 8; 0,0; 0,00; 29
02-10-16 04:30; 0,0; 0; ; ; ; ; 
02-10-16 05:00; 0,5; 6; 14; 8; 0,0; 0,00; 23
02-10-16 05:30; 0,0; 0; ; ; ; ; 
02-10-16 06:00; 0,3; 7; 11; 8; 0,0; 0,00; 24
02-10-16 06:30; 0,0; 0; ; ; ; ; 
02-10-16 07:00; 0,4; 15; 18; 8; 0,0; 0,00; 27
02-10-16 07:30; 0,0; 0; ; ; ; ; 
02-10-16 08:00; 0,4; 14; 20; 8; 0,0; 0,00; 32
02-10-16 08:30; 0,0; 0; ; ; ; ; 
02-10-16 09:00; 0,8; 9; 14; 8; 0,0; 0,00; 43
02-10-16 09:30; 0,0; 0; ; ; ; ; 
02-10-16 10:00; 0,7; 9; 12; 8; 0,0; 0,00; 49
02-10-16 10:30; 0,0; 0; ; ; ; ; 
02-10-16 11:00; 0,7; 8; 13; 8; 0,0; 0,00; 53
02-10-16 11:30; 0,0; 0; ; ; ; ; 
02-10-16 12:00; 0,7; 11; 19; 8; 0,0; 0,00; 60
02-10-16 12:30; 0,0; 0; ; ; ; ; 
02-10-16 13:00; 0,7; 11; 18; 8; 0,0; 0,00; 67
02-10-16 13:30; 0,0; 0; ; ; ; ; 
02-10-16 14:00; 1,1; 8; 15; 8; 0,0; 0,00; 73
02-10-16 14:30; 0,0; 0; ; ; ; ; 
02-10-16 15:00; 1,3; 13; 23; 8; 0,0; 0,00; 73
02-10-16 15:30; 0,0; 0; ; ; ; ; 
02-10-16 16:00; 1,0; 20; 30; 8; 0,0; 0,00; 70
02-10-16 16:30; 0,0; 0; ; ; ; ; 
02-10-16 17:00; 1,1; 17; 26; 8; 0,0; 0,00; 72
02-10-16 17:30; 0,0; 0; ; ; ; ; 
02-10-16 18:00; 1,3; 22; 29; 8; 0,0; 0,00; 66
02-10-16 18:30; 0,0; 0; ; ; ; ; 
02-10-16 19:00; 2,0; 18; 26; 8; 0,0; 0,00; 53
02-10-16 19:30; 0,0; 0; ; ; ; ; 
02-10-16 20:00; 1,7; 18; 24; 8; 0,0; 0,00; 34
02-10-16 20:30; 0,0; 0; ; ; ; ; 
02-10-16 21:00; 2,5; 11; 21; 8; 0,0; 0,00; 32
02-10-16 21:30; 0,0; 0; ; ; ; ; 
02-10-16 22:00; 1,8; 10; 20; 8; 0,0; 0,00; 44
02-10-16 22:30; 0,0; 0; ; ; ; ; 
02-10-16 23:00; 1,3; 9; 12; 8; 0,0; 0,00; 43
02-10-16 23:30; 0,0; 0; ; ; ; ; 
03-10-16 00:00; 1,6; 7; 10; 8; 0,0; 0,00; 39
03-10-16 00:30; 0,0; 0; ; ; ; ; 
03-10-16 01:00; 1,0; 2; 7; 11; 0,0; 0,00; 34
03-10-16 01:30; 0,0; 0; ; ; ; ; 
03-10-16 02:00; 0,5; 1; 4; 11; 0,0; 0,00; 40
03-10-16 02:30; 0,0; 0; ; ; ; ; 
03-10-16 03:00; 0,5; 1; 4; 11; 0,0; 0,00; 39
03-10-16 03:30; 0,0; 0; ; ; ; ; 
03-10-16 04:00; 0,3; 1; 5; 11; 0,0; 0,00; 38
03-10-16 04:30; 0,0; 0; ; ; ; ; 
03-10-16 05:00; 0,3; 3; 6; 11; 0,0; 0,00; 42
03-10-16 05:30; 0,0; 0; ; ; ; ; 
03-10-16 06:00; 0,5; 3; 10; 11; 0,0; 0,00; 42
03-10-16 06:30; 0,0; 0; ; ; ; ; 
03-10-16 07:00; 0,2; 9; 14; 11; 0,0; 0,00; 38
03-10-16 07:30; 0,0; 0; ; ; ; ; 
03-10-16 08:00; 0,3; 6; 12; 11; 0,0; 0,00; 33
03-10-16 08:30; 0,0; 0; ; ; ; ; 
03-10-16 09:00; 0,4; 12; 16; 11; 0,0; 0,00; 37
03-10-16 09:30; 0,0; 0; ; ; ; ; 
03-10-16 10:00; 0,8; 5; 8; 11; 0,0; 0,00; 38
03-10-16 10:30; 0,0; 0; ; ; ; ; 
03-10-16 11:00; 0,6; 3; 5; 11; 0,0; 0,00; 37
03-10-16 11:30; 0,0; 0; ; ; ; ; 
03-10-16 12:00; 0,8; 1; 3; 11; 0,0; 0,00; 31
03-10-16 12:30; 0,0; 0; ; ; ; ; 
03-10-16 13:00; 0,8; 2; 4; 11; 0,0; 0,00; 26
03-10-16 13:30; 0,0; 0; ; ; ; ; 
03-10-16 14:00; 0,8; 3; 5; 11; 0,0; 0,00; 26
03-10-16 14:30; 0,0; 0; ; ; ; ; 
03-10-16 15:00; 0,8; 3; 5; 11; 0,0; 0,00; 27
03-10-16 15:30; 0,0; 0; ; ; ; ; 
03-10-16 16:00; 0,8; 5; 9; 11; 0,0; 0,00; 28
03-10-16 16:30; 0,0; 0; ; ; ; ; 
03-10-16 17:00; 0,9; 7; 14; 11; 0,0; 0,00; 29
03-10-16 17:30; 0,0; 0; ; ; ; ; 
03-10-16 18:00; 0,8; 4; 12; 11; 0,0; 0,00; 31
03-10-16 18:30; 0,0; 0; ; ; ; ; 
03-10-16 19:00; 0,8; 3; 12; 11; 0,0; 0,00; 31
03-10-16 19:30; 0,0; 0; ; ; ; ; 
03-10-16 20:00; 0,8; 3; 9; 11; 0,0; 0,00; 31
03-10-16 20:30; 0,0; 0; ; ; ; ; 
03-10-16 21:00; 0,7; 2; 11; 11; 0,0; 0,00; 30
03-10-16 21:30; 0,0; 0; ; ; ; ; 
03-10-16 22:00; 0,6; 2; 8; 11; 0,0; 0,00; 26
03-10-16 22:30; 0,0; 0; ; ; ; ; 
03-10-16 23:00; 0,7; 1; 7; 11; 0,0; 0,00; 24
03-10-16 23:30; 0,0; 0; ; ; ; ; 
04-10-16 00:00; 0,4; 1; 8; 11; 0,0; 0,00; 23
04-10-16 00:30; 0,0; 0; ; ; ; ; 
